metric,basis_2022,basis_2025,unit,change
"Premium adequacy, book (premium-weighted)",1.0,0.9656506247047183,ratio,-0.0343493752952817
"Premium adequacy, LTA 35 NS",1.0,0.9613692204103642,ratio,-0.03863077958963579
"New-business margin at current rates, LTA 35 NS",0.10000000000000168,0.06252290823763723,margin,-0.03747709176236445
"Premium adequacy, MP 35 NS",1.0,0.9465970991217122,ratio,-0.05340290087828781
"New-business margin at current rates, MP 35 NS",0.10000000000004307,0.06003603493247868,margin,-0.03996396506756439
"Premium adequacy, LTA 50 NS",1.0,0.9757134262646475,ratio,-0.02428657373535248
"New-business margin at current rates, LTA 50 NS",0.0999999999999995,0.07375987966388849,margin,-0.02624012033611102
Solvency II BEL,-38865129.093112096,-32122104.703229606,EUR,6743024.38988249
Solvency II life SCR,39767839.405108996,37331770.676623814,EUR,-2436068.728485182
"Risk margin (current, 6%)",17891729.67132753,16535681.799680725,EUR,-1356047.8716468066
Risk margin (2027 rules),11679887.804788673,10827876.777113501,EUR,-852011.0276751723
IFRS 17 CSM,37651304.155186936,31593287.831248686,EUR,-6058016.323938251
IFRS 17 loss component,55536.864222050004,151516.64243971652,EUR,95979.77821766652
