cell,be,ra,be_stressed,group,portfolio,policies
LTA|NS|25-34|150-300k,-1231958.061883491,164109.8564899941,-657495.93647515,LTA-G2,LTA,3092
LTA|NS|25-34|300-500k,-1661640.0275439841,141319.80241139443,-1075139.7565135348,LTA-G2,LTA,1745
LTA|NS|25-34|500k+,-1031909.9537850195,70268.23292736814,-712975.0817212947,LTA-G2,LTA,530
LTA|NS|25-34|<150k,-10369.140611822659,32473.65981172815,67298.03759179148,LTA-G1,LTA,933
LTA|NS|35-44|150-300k,-1957737.5367785818,248464.48681665608,-1116019.0434193194,LTA-G2,LTA,3241
LTA|NS|35-44|300-500k,-2385940.319869767,224138.3789299298,-1544313.131088828,LTA-G2,LTA,1806
LTA|NS|35-44|500k+,-1408367.6975574184,109906.35105318739,-961173.1097912847,LTA-G2,LTA,544
LTA|NS|35-44|<150k,-118653.23932705424,46658.343575563296,2408.592396922235,LTA-G3,LTA,999
LTA|NS|45-55|150-300k,-5458196.1536894115,668284.1891432544,-3510899.24027606,LTA-G2,LTA,3536
LTA|NS|45-55|300-500k,-5729600.86933162,639188.5105355848,-3824343.641054625,LTA-G2,LTA,2035
LTA|NS|45-55|500k+,-3195868.788194568,313142.0847942084,-2198366.013569677,LTA-G2,LTA,599
LTA|NS|45-55|<150k,-666497.8911452309,114307.20458971255,-365610.2242550986,LTA-G2,LTA,1102
LTA|S|25-34|150-300k,-451921.94316454954,55899.777757339645,-253134.5310747429,LTA-G2,LTA,833
LTA|S|25-34|300-500k,-569271.7460448004,49296.58712696703,-367760.61246615334,LTA-G2,LTA,466
LTA|S|25-34|500k+,-330933.2041323124,24379.980850040272,-224693.31430044727,LTA-G2,LTA,146
LTA|S|25-34|<150k,-19971.885917827196,10666.215057799196,8206.850502508532,LTA-G3,LTA,255
LTA|S|35-44|150-300k,-821627.8652137284,102552.75076719711,-511508.27334740094,LTA-G2,LTA,780
LTA|S|35-44|300-500k,-972246.6942861896,95676.20132544916,-654755.4719778441,LTA-G2,LTA,441
LTA|S|35-44|500k+,-566907.8686242484,54303.18196509266,-387096.7326103466,LTA-G2,LTA,147
LTA|S|35-44|<150k,-84918.54592721253,16434.137423660883,-41039.5770297157,LTA-G2,LTA,220
LTA|S|45-55|150-300k,-2499661.391393741,327195.54230335914,-1633385.5857522343,LTA-G2,LTA,839
LTA|S|45-55|300-500k,-2755098.967078994,347449.5025699907,-1833160.9652046426,LTA-G2,LTA,513
LTA|S|45-55|500k+,-1392742.1340552939,171494.3379979327,-935553.7210495372,LTA-G2,LTA,148
LTA|S|45-55|<150k,-356670.9872522304,57600.72707466909,-215622.87400671974,LTA-G2,LTA,272
MP|NS|25-34|150-300k,-940644.0653665904,157228.44107215863,-408742.342658879,MP-G2,MP,2956
MP|NS|25-34|300-500k,-2040069.5681325991,204470.23605177528,-1233040.2026759875,MP-G2,MP,2568
MP|NS|25-34|500k+,-989917.5021812025,77923.3938518347,-651544.3231644509,MP-G2,MP,643
MP|NS|25-34|<150k,1497.8935503889952,9903.969596480392,25447.6658600924,MP-G1,MP,278
MP|NS|35-44|150-300k,-1127897.8671559568,191512.05597807933,-401326.3219733634,MP-G2,MP,2970
MP|NS|35-44|300-500k,-2304737.613808877,253348.58541392023,-1206872.226361001,MP-G2,MP,2622
MP|NS|35-44|500k+,-1116685.678751562,99082.2227089823,-657073.804542566,MP-G2,MP,656
MP|NS|35-44|<150k,-7176.156823895086,10559.65162402967,23859.569416386075,MP-G1,MP,253
MP|NS|45-55|150-300k,-2086193.467438893,382595.3346103118,-587237.6656700657,MP-G2,MP,3125
MP|NS|45-55|300-500k,-3940249.797036476,547106.2449336872,-1659047.82383616,MP-G2,MP,2812
MP|NS|45-55|500k+,-1726139.8016548925,218702.08565546153,-791828.0953395917,MP-G2,MP,719
MP|NS|45-55|<150k,-41269.25900657172,20100.578093816654,26843.806075527493,MP-G3,MP,276
MP|S|25-34|150-300k,-267699.2526441829,43860.61912795849,-102140.70977476722,MP-G2,MP,728
MP|S|25-34|300-500k,-543022.4985158092,58336.58395468962,-294788.7807111178,MP-G2,MP,642
MP|S|25-34|500k+,-261289.3772658686,22394.78755778144,-159250.47693036732,MP-G2,MP,157
MP|S|25-34|<150k,106.8578604933864,2321.354893508143,6561.727759063046,MP-G1,MP,59
MP|S|35-44|150-300k,-365149.39511715045,66792.26228641853,-104873.16312931612,MP-G2,MP,725
MP|S|35-44|300-500k,-749815.2460513734,98753.39392563934,-334600.83987879124,MP-G2,MP,687
MP|S|35-44|500k+,-358246.4060641417,36887.0629759882,-194266.43495083653,MP-G2,MP,163
MP|S|35-44|<150k,-9578.534522412956,4271.818421554148,4656.255160256784,MP-G3,MP,71
MP|S|45-55|150-300k,-917806.624160745,185280.24913456407,-210251.6069164197,MP-G2,MP,752
MP|S|45-55|300-500k,-1469316.679389653,267604.39661190845,-424571.97723527916,MP-G2,MP,673
MP|S|45-55|500k+,-684079.3220200522,107415.64866548427,-251082.61129923444,MP-G2,MP,183
MP|S|45-55|<150k,-30249.525172473594,8538.54927943556,535.93784843701,MP-G3,MP,60
