product,year,opening,accretion,release,closing
LTA,1,31796193.970931567,1009847.1205167869,2831853.9118832927,29974187.17956506
LTA,2,29974187.17956506,1023359.8901553394,2751839.0551562267,28245708.014564175
LTA,3,28245708.014564175,852807.3380085338,2578506.143035182,26520009.209537525
LTA,4,26520009.209537525,795375.1656227863,2441820.0772849484,24873564.297875363
LTA,5,24873564.297875363,757908.1360479621,2338214.2283858005,23293258.20553752
LTA,6,23293258.20553752,699977.3457177018,2261721.7468461627,21731513.80440906
LTA,7,21731513.80440906,646963.1388036741,2209953.670775141,20168523.272437595
LTA,8,20168523.272437595,615343.0143756758,2160643.1744541586,18623223.11235911
LTA,9,18623223.11235911,578065.1055656882,2113213.4972684667,17088074.720656335
LTA,10,17088074.720656335,534516.1708721551,2066969.7488953182,15555621.14263317
LTA,11,15555621.14263317,494674.0649240442,2022387.9911728434,14027907.21638437
LTA,12,14027907.21638437,409635.0860074633,1973378.3304555211,12464163.971936312
LTA,13,12464163.971936312,361853.15585654095,1924794.82019867,10901222.307594182
LTA,14,10901222.307594182,307336.61859637056,1875393.0948080714,9333165.831382481
LTA,15,9333165.831382481,241633.5989847545,1822639.537607306,7752159.8927599285
LTA,16,7752159.8927599285,174941.27692576364,1765061.7547236944,6162039.414961997
LTA,17,6162039.414961997,122774.3478103987,1704270.7574797308,4580543.005292666
LTA,18,4580543.005292666,86792.85651322649,1643337.2091788661,3023998.652627026
LTA,19,3023998.652627026,56714.56452670054,1583571.8860048451,1497141.3311488815
LTA,20,1497141.3311488815,29497.45869711687,1526638.7898459984,0.0
MP,1,19014812.808538463,603910.4547991819,2489889.0618576827,17128834.20147996
MP,2,17128834.20147996,584801.9091195222,2338316.47904457,15375319.631554915
MP,3,15375319.631554915,464218.6841008105,2111889.6245120596,13727648.691143665
MP,4,13727648.691143665,411712.9358840152,1922001.260700911,12217360.36632677
MP,5,12217360.36632677,372268.1925187499,1762841.1932850047,10826787.365560517
MP,6,10826787.365560517,325351.90293787915,1627103.2585742427,9525036.009924153
MP,7,9525036.009924153,283567.32299745677,1510531.4187987368,8298071.914122874
MP,8,8298071.914122874,253174.73749407363,1396163.5097859572,7155083.141830991
MP,9,7155083.141830991,222093.8806757314,1283464.0784899103,6093712.944016811
MP,10,6093712.944016811,190611.76653754985,1171907.9144729609,5112416.7960814
MP,11,5112416.7960814,162576.6001186792,1061689.7380430752,4213303.658157004
MP,12,4213303.658157004,123034.53250452502,949755.6622519665,3386582.528409562
MP,13,3386582.528409562,98317.5107638808,838917.6954776697,2645982.343695773
MP,14,2645982.343695773,74597.8059552688,728755.4742664358,1991824.675384606
MP,15,1991824.675384606,51567.90027682719,618659.1003992336,1424733.4752621993
MP,16,1424733.4752621993,32151.645075591157,508861.1071277536,948024.0132100368
MP,17,948024.0132100368,18888.718830302532,400682.9053960029,566229.8266443365
MP,18,566229.8266443365,10729.01270453436,295424.7218863256,281534.1174625453
MP,19,281534.1174625453,5280.12301110855,193520.98463386332,93293.25583979051
MP,20,93293.25583979051,1838.1123435701318,95131.36818336064,0.0
