sa,margin_with_fee,margin_no_fee
50000,-0.5384263564848303,-1.8968170847208032
75000,-0.34543292608010784,-1.053492080412665
100000,-0.21582366348681148,-0.6318295782585959
150000,-0.055866966489925854,-0.2111124691408236
200000,0.03840744133947133,-0.011399985075745092
250000,0.10000000000000168,0.099999999999864
350000,0.17643647692316305,0.21782429532135134
500000,0.23862395522152066,0.30181213238488436
750000,0.2904058802215774,0.36548342774066817
1000000,0.3175220400952562,0.39687337737641665
