scenario,LTA 35 NS,LTA 50 NS,MP 35 NS
Base,0.10000000000000168,0.0999999999999995,0.10000000000004307
Mortality +10%,0.06734399779872807,0.052812732881074104,0.0708337439903366
Mortality -10%,0.1326684704793999,0.1472918150093748,0.12916840611943464
Lapse +20%,0.09819551188262338,0.11427268757988848,0.08653758319458456
Lapse -20%,0.10053556159667838,0.08423243999893922,0.11281121635557262
Expenses +10%,0.06369720801587726,0.08790562015368533,0.05719880693131855
Earned rate +1pp,0.11029689449929841,0.13089953700891022,0.10379940260692136
Earned rate -1pp,0.08970310550070494,0.06910046299108893,0.09620059739316475
RDR +2pp,0.08764625514794189,0.07569900791546545,0.08082799028130076
RDR -2pp,0.11221834553830834,0.12507783751596724,0.1196749954326524
