cell,male_share,margin_at_priced_rate,rate_needed
LTA 30 NS,0.3,0.13574976489696908,0.7763604617734947
LTA 30 NS,0.4,0.12383469829596493,0.7925701971385175
LTA 30 NS,0.5,0.11191811009413836,0.8083603841059906
LTA 30 NS,0.6,0.09999999999999919,0.8239557257963714
LTA 30 NS,0.7,0.0880803677219827,0.8393972298976677
LTA 40 NS,0.3,0.15692544154284743,1.354517049672831
LTA 40 NS,0.4,0.13795430836491254,1.389530573852349
LTA 40 NS,0.5,0.11897916160857491,1.4229250395651218
LTA 40 NS,0.6,0.10000000000001637,1.4547531122034218
LTA 40 NS,0.7,0.08101682226487969,1.485653737019965
LTA 50 NS,0.3,0.1860663057770014,3.296052553733887
LTA 50 NS,0.4,0.15739241834283843,3.408993260401285
LTA 50 NS,0.5,0.12870365361101033,3.5190284604772994
LTA 50 NS,0.6,0.0999999999999995,3.625912880733531
LTA 50 NS,0.7,0.07128144591626422,3.7285399337196794
LTA 40 S,0.3,0.17208464990413028,2.4679069179861433
LTA 40 S,0.4,0.1480674247705495,2.5363777261049485
LTA 40 S,0.5,0.12403921065039833,2.6044235353381326
LTA 40 S,0.6,0.09999999999999995,2.6701930069147446
LTA 40 S,0.7,0.07594978526877101,2.7340158641579095
MP 40 NS,0.3,0.13723841276279983,0.8394609833218383
MP 40 NS,0.4,0.12482823431338992,0.858388265201713
MP 40 NS,0.5,0.11241543033688411,0.8773203033483303
MP 40 NS,0.6,0.10000000000000003,0.8962570995547304
MP 40 NS,0.7,0.0875819424691027,0.9151986556148548
