j,mortality,lapse_up,lapse_down,mass,lapse,expense,cat,scr_life,valuation,product
0,15243175.181742337,2931346.1190419407,159027.93052512858,12735344.410808316,12735344.410808316,4545314.922644237,10460819.251295647,28058397.28058647,2022-12-31 issue,LTA
1,15348469.50511242,2103751.1527332696,4115.5300249075135,17374704.200519092,17374704.200519092,3843703.9297433044,9793176.155284397,30388646.950278483,2022-12-31 issue,LTA
2,15382993.786088843,1130680.7949067377,22348.229142429907,12436182.094036419,12436182.094036419,3765970.693110356,8930335.429824894,26496448.34661243,2022-12-31 issue,LTA
3,15276758.884071635,546991.9919593346,2315834.413365907,8307593.089321293,8307593.089321293,3666514.415481876,8201679.04398748,23522837.84092574,2022-12-31 issue,LTA
4,15075828.721667763,300164.6624209072,4465280.897788148,5841063.958690926,5841063.958690926,3557440.6998885097,7608183.327744175,21740193.35893305,2022-12-31 issue,LTA
5,14777840.696187442,191580.94284984385,4683190.072862194,4066819.7446307587,4683190.072862194,3439564.6563389087,7138807.403932377,20648832.78773831,2022-12-31 issue,LTA
6,14367065.523814015,132531.46498261022,4685386.104270941,2665888.4345100336,4685386.104270941,3308141.5179265644,6767508.657938197,20000880.120129634,2022-12-31 issue,LTA
7,13899498.79865168,91151.19782735995,4979732.91993931,1648523.8171536091,4979732.91993931,3161614.080679148,6408639.437700499,19426852.70278709,2022-12-31 issue,LTA
8,13384436.980603175,61942.64110194478,4897395.125272016,891852.063507259,4897395.125272016,3003175.3273860565,6069558.744671832,18665132.757779267,2022-12-31 issue,LTA
9,12813338.04385994,41265.74581754943,4921703.424813744,524262.3919396241,4921703.424813744,2832220.260780677,5749634.265447539,17907990.52318331,2022-12-31 issue,LTA
10,12176464.851241127,26869.347291792856,4486104.1282765865,337923.83009405463,4486104.1282765865,2647990.345235671,5444757.262552845,16900297.51825484,2022-12-31 issue,LTA
11,11470971.351234222,16973.716160221342,3940186.148953184,219595.63398670175,3940186.148953184,2451192.1781933536,5171562.637091935,15804009.460636418,2022-12-31 issue,LTA
12,10653981.65672009,10295.742638029475,3330755.015144495,141184.06890828337,3330755.015144495,2234973.1334541924,4900407.801082645,14584299.133793157,2022-12-31 issue,LTA
13,9747685.618746335,5927.104432639285,2700410.4102025186,88156.96417407681,2700410.4102025186,2005132.977064551,4646524.3289334215,13292342.265822772,2022-12-31 issue,LTA
14,8738573.793432051,3208.6632499238563,2074372.510526636,53010.3138374148,2074372.510526636,1760717.2555941518,4412308.402869003,11929760.557056313,2022-12-31 issue,LTA
15,7607462.0990424855,1620.1416470655975,1478522.575423148,30206.356506924036,1478522.575423148,1500077.3872587385,4194494.008317032,10489465.99733792,2022-12-31 issue,LTA
16,6342828.33415152,728.0350459328777,942357.0356172356,15925.365773717824,942357.0356172356,1223249.1109565315,3985307.035711323,8971345.912474517,2022-12-31 issue,LTA
17,4947950.373941606,268.7514807329146,497825.9067403621,7758.123319784903,497825.9067403621,932793.5926261909,3780943.422137583,7397720.155939848,2022-12-31 issue,LTA
18,3429051.907144318,64.179854127853,174685.7872282285,3288.368257137415,174685.7872282285,631478.7478516962,3584976.08649304,5815866.48347607,2022-12-31 issue,LTA
19,1782247.9295232003,0.0,0.0,993.8297477965657,993.8297477965657,320408.7187542067,3396158.5802661073,4320991.917290033,2022-12-31 issue,LTA
0,8988379.887082402,4488159.548147188,8082.224251489621,7239854.266128781,7239854.266128781,4465728.677631035,11758604.909836065,21575011.21766092,2022-12-31 issue,MP
1,8857402.565493431,3911005.975513138,0.0,11791661.919133866,11791661.919133866,3776486.2360415803,10649488.13261929,23162169.618623734,2022-12-31 issue,MP
2,8638554.924854336,3072572.2690986893,49.41293662868278,9424537.449754056,9424537.449754056,3700141.12130634,9369971.247671764,20438895.11710573,2022-12-31 issue,MP
3,8312301.033904599,2476286.1494091195,9807.47387793384,7527438.467689158,7527438.467689158,3602454.1600168594,8279147.1821957845,18161790.04335322,2022-12-31 issue,MP
4,7908520.812503531,2053420.178949953,74693.26433195888,6138226.063213836,6138226.063213836,3495319.293797274,7364637.902325915,16326347.246722259,2022-12-31 issue,MP
5,7429080.451802549,1755000.047279073,69980.52234985074,5227538.610614495,5227538.610614495,3379537.391059413,6601664.288400184,14855113.29852418,2022-12-31 issue,MP
6,6874507.527085402,1544817.8373547,50795.39792032195,4592308.840000784,4592308.840000784,3250446.15738947,5953017.308318765,13574155.21117161,2022-12-31 issue,MP
7,6303660.853723992,1355516.673820867,30475.3750289667,4061350.818335004,4061350.818335004,3106513.96322407,5335781.616038368,12357188.707629208,2022-12-31 issue,MP
8,5725332.260489491,1186448.3286242702,15231.606276593113,3620282.7704052282,3620282.7704052282,2950877.36755894,4755515.806086308,11206112.341802813,2022-12-31 issue,MP
9,5140517.773044693,1034119.8986763479,6330.578189108535,3255014.1162869586,3255014.1162869586,2782941.083255008,4210369.00843191,10111189.236466143,2022-12-31 issue,MP
10,4551005.969007395,897116.4131918183,2204.2106029076876,2953527.360029654,2953527.360029654,2601958.796238059,3696134.923729937,9063651.741941057,2022-12-31 issue,MP
11,3962632.6748057553,772574.0331693937,707.0505152562245,2706492.728147769,2706492.728147769,2408623.7104504774,3222194.6068783216,8070184.139742249,2022-12-31 issue,MP
12,3368446.263148926,657373.1921091632,265.7630773239934,2501599.6180560524,2501599.6180560524,2196200.9439262813,2767992.331744632,7102539.937535585,2022-12-31 issue,MP
13,2786657.9729987113,567916.6517745983,119.29140637132691,2340204.7225885373,2340204.7225885373,1970387.9862812308,2342338.065633486,6187049.976831016,2022-12-31 issue,MP
14,2224340.8144839196,481005.16148613737,63.4757346638239,2244994.581605479,2244994.581605479,1730245.2680465553,1944594.011965887,5347844.410926893,2022-12-31 issue,MP
15,1689503.7896422741,367570.5380000538,34.816969249009475,2159644.2429552297,2159644.2429552297,1474150.8683880982,1571232.575281984,4557563.208099529,2022-12-31 issue,MP
16,1194960.6196770708,249901.03267696686,16.843975960199554,2020938.7665342574,2020938.7665342574,1202137.7405661105,1218075.0161818604,3778811.584039562,2022-12-31 issue,MP
17,758858.2554608962,141337.76326137254,6.725863433377223,1782811.604256612,1782811.604256612,916720.3612200008,883931.1617389247,2981048.999138279,2022-12-31 issue,MP
18,400981.1429262852,53270.839408618325,1.8172324467682075,1400660.1468264207,1400660.1468264207,620616.1851038437,569842.3944902115,2125175.775787652,2022-12-31 issue,MP
19,140887.28207071865,0.0,0.0,824908.8700824754,824908.8700824754,314907.40339099837,275349.23669950326,1154807.8856138473,2022-12-31 issue,MP
0,24231555.068824727,7419505.667189096,167110.15477661835,19975198.676937148,19975198.676937148,9011043.600274885,22219424.16113197,49411396.78198926,2022-12-31 issue,Total
1,24205872.070605855,6014757.128246382,4115.5300249075135,29166366.1196532,29166366.1196532,7620190.165785117,20442664.287903734,53389837.75587054,2022-12-31 issue,Total
2,24021548.71094336,4203253.064005414,22397.64207905859,21860719.543790553,21860719.543790553,7466111.814416725,18300306.67749684,46761139.1043897,2022-12-31 issue,Total
3,23589059.917975932,3023278.1413684543,2325641.8872438404,15835031.55701049,15835031.55701049,7268968.575498867,16480826.22618339,41439787.98473303,2022-12-31 issue,Total
4,22984349.534171004,2353584.8413708624,4539974.162120107,11979290.021904772,11979290.021904772,7052759.993686381,14972821.230070045,37759782.03732027,2022-12-31 issue,Total
5,22206921.147989832,1946580.9901289165,4753170.595212043,9294358.355245255,9294358.355245255,6819102.047397467,13740471.692332508,34888365.20905092,2022-12-31 issue,Total
6,21241573.050899584,1677349.3023373133,4736181.502191263,7258197.274510781,7258197.274510781,6558587.675316127,12720525.966257064,32387558.81421653,2022-12-31 issue,Total
7,20203159.652375408,1446667.8716482273,5010208.294968279,5709874.635488655,5709874.635488655,6268128.0439028395,11744421.053738842,30101062.51766295,2022-12-31 issue,Total
8,19109769.241092954,1248390.9697262235,4912626.731548599,4512134.833912429,4912626.731548599,5954052.694946214,10825074.550758079,28112970.940954044,2022-12-31 issue,Total
9,17953855.816904724,1075385.6444939,4928034.003002848,3779276.5082265693,4928034.003002848,5615161.344036226,9960003.273879493,26407425.584939174,2022-12-31 issue,Total
10,16727470.82024853,923985.7604836082,4488308.338879491,3291451.1901237024,4488308.338879491,5249949.1414733995,9140892.186282739,24484767.27061764,2022-12-31 issue,Total
11,15433604.026039906,789547.749329614,3940893.199468441,2926088.3621344753,3940893.199468441,4859815.888643679,8393757.24397019,22498054.72991657,2022-12-31 issue,Total
12,14022427.919868918,667668.9347471911,3331020.778221821,2642783.68696434,3331020.778221821,4431174.077380039,7668400.132827237,20384275.63246871,2022-12-31 issue,Total
13,12534343.591745138,573843.7562072373,2700529.70160889,2428361.686762614,2700529.70160889,3975520.9633458224,6988862.394566895,18216264.181889206,2022-12-31 issue,Total
14,10962914.6079159,484213.8247360611,2074435.9862612993,2298004.8954429,2298004.8954429,3490962.523640724,6356902.41483494,16076884.07312043,2022-12-31 issue,Total
15,9296965.888684768,369190.6796471198,1478557.3923923972,2189850.5994621473,2189850.5994621473,2974228.2556465813,5765726.583598921,13976646.129787708,2022-12-31 issue,Total
16,7537788.953828529,250629.06772289998,942373.8795931964,2036864.1323079786,2036864.1323079786,2425386.851522809,5203382.051893169,11799422.476298476,2022-12-31 issue,Total
17,5706808.629402484,141606.51474210553,497832.6326037955,1790569.727576397,1790569.727576397,1849513.953846229,4664874.583876531,9557494.253866779,2022-12-31 issue,Total
18,3830033.050070602,53335.01926274619,174687.60446067518,1403948.5150835582,1403948.5150835582,1252094.932955568,4154818.4809832503,7287000.582529799,2022-12-31 issue,Total
19,1923135.2115939271,0.0,0.0,825902.6998302711,825902.6998302711,635316.1221452131,3671507.816965629,5060890.275889425,2022-12-31 issue,Total
0,14431384.200177643,632325.275140054,888913.0757216659,8428230.170430534,8428230.170430534,3494054.74988783,7839364.03062963,22603598.929024234,2025-12-31 basis_2022,LTA
